STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WT09,WT10
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/16/2014,15.66,2024,0,,,,35,20,290,270,25.9,33.1,1,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/17/2014,11.41,52,0,,,,21,13,280,270,17,21.9,1,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/18/2014,7.38,1343,0.04,,,,21,11,120,130,14.1,21.9,1,1,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/19/2014,14.32,1154,0,,,,39,11,240,230,25.9,35.1,1,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/20/2014,10.07,2259,0,,,,37,20,30,40,23.9,29.1,1,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/21/2014,12.97,142,0,,,,20,1,340,350,25.9,33.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/22/2014,11.41,1912,0,,,,15,1,330,300,25.1,33.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/23/2014,13.42,917,0,,,,11,-3,300,300,21.9,25.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/24/2014,18.34,1526,0,,,,28,-6,210,230,32,40.9,1,,,,,1,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/25/2014,16.55,915,0.01,,,,33,7,330,330,33.1,40,1,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/26/2014,14.99,2315,0.1,,,,32,6,290,290,32,40,1,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/27/2014,14.32,132,0,,,,6,-7,290,280,25.9,36.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/28/2014,10.07,1052,0,,,,4,-11,250,260,18.1,23,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/29/2014,11.86,2225,0,,,,22,1,190,200,21,29.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/30/2014,17,1434,0,,,,33,19,220,230,32,44.1,1,1,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/31/2014,4.03,13,0.02,,,,28,19,330,260,13,16.1,1,,,,,1,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/1/2014,7.83,1741,0.2,,,,32,23,360,360,14.1,18.1,1,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/2/2014,7.16,848,0,,,,23,7,330,350,15,18.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/3/2014,4.25,1417,0,,,,22,1,250,240,10.1,13,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/4/2014,6.49,2320,0.01,,,,25,10,50,40,21.9,25.1,1,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/5/2014,14.09,1029,0.04,,,,25,9,10,10,25.1,33.1,1,,,,,1,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/6/2014,11.18,1127,0,,,,12,-1,270,260,19.9,23.9,1,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/7/2014,10.51,1319,0,,,,11,-3,250,230,21,23.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/8/2014,4.7,1209,0.07,,,,17,6,200,150,10.1,18.1,1,1,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/9/2014,7.83,1457,0,,,,20,7,260,290,16.1,21.9,1,,,,,1,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/10/2014,7.61,1112,0,,,,13,-2,340,330,15,17,,,,,,1,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/11/2014,5.59,1452,0,,,,15,-4,180,190,10.1,18.1,,,,,,1,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/12/2014,4.92,1335,0,,,,23,2,200,170,12.1,19.9,1,,,,,1,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/13/2014,11.18,2030,0,,,,34,15,280,260,29.1,36.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/14/2014,9.17,1,0,,,,22,13,290,290,18.1,23,,,,,,1,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/15/2014,6.04,1447,0.01,,,,24,6,210,170,14.1,21,1,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/16/2014,9.4,1510,0,,,,28,18,20,20,17,21.9,1,,,,,1,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/17/2014,11.18,1107,0.38,,,,29,22,290,130,21.9,29.1,1,1,,,,1,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/18/2014,11.41,1622,0,,,,45,23,200,200,23.9,32,1,,,,,1,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/19/2014,7.61,551,0,,,,45,32,230,280,15,18.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/20/2014,13.2,2024,0.77,,,,51,35,240,250,44.1,59.1,1,1,1,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/21/2014,23.26,618,0,,,,37,28,240,230,38.9,51,1,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/22/2014,10.96,2312,0,,,,35,23,310,300,17,21.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/23/2014,11.41,1934,0,,,,29,16,270,270,21,29.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/24/2014,11.63,1305,0,,,,25,13,260,260,21,28,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/25/2014,11.86,1747,0,,,,24,7,260,290,17,23,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/26/2014,,2225,,,,,19,8,240,240,28,35.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/27/2014,13.42,120,0,,,,19,6,320,280,29.1,38,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",2/28/2014,8.95,1440,0,,,,32,6,160,130,18.1,25.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/1/2014,9.4,1451,0.05,,,,32,12,350,20,17,21,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/2/2014,11.86,1927,0.01,,,,16,5,330,330,17,21.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/3/2014,5.82,35,0,,,,20,1,350,350,16.1,19.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/4/2014,6.71,1249,0,,,,27,12,230,220,12.1,14.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/5/2014,12.97,1454,0.02,,,,24,20,60,60,17,17,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/6/2014,6.93,1521,0,,,,32,16,60,100,12.1,14.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/7/2014,7.16,1321,0,,,,46,20,200,200,16.1,21.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/8/2014,11.18,457,0.01,,,,39,23,20,10,21.9,29.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/9/2014,12.08,1600,0,,,,42,21,210,220,21.9,30,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/10/2014,12.97,141,0,,,,54,41,240,240,21,28,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/11/2014,10.74,2157,0.37,,,,51,33,30,20,25.9,34,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/12/2014,16.11,413,0.13,,,,34,18,350,30,30,38.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/13/2014,10.07,1640,0,,,,39,14,200,190,23,30,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/14/2014,16.33,1550,0,,,,54,38,270,250,29.1,36,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/15/2014,12.3,2226,0,,,,40,28,30,30,23.9,29.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/16/2014,19.69,339,0,,,,29,19,30,30,30,36,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/17/2014,8.5,2131,0,,,,39,20,160,160,14.1,14.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/18/2014,10.74,1612,0,,,,51,30,130,120,23,29.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/19/2014,12.75,1630,0.39,,,,47,35,270,280,23.9,34,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/20/2014,8.05,48,0,,,,48,31,300,300,19.9,23.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/21/2014,11.86,2249,0,,,,58,33,290,300,25.1,32,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/22/2014,12.3,213,0,,,,42,29,330,330,23.9,31.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/23/2014,9.4,103,0,,,,30,21,340,330,18.1,23,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/24/2014,6.26,1653,0,,,,37,20,260,250,14.1,18.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/25/2014,13.42,1303,0,,,,31,21,280,290,23,30,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/26/2014,10.51,2233,0,,,,39,17,190,180,21.9,30,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/27/2014,17.9,2154,0.12,,,,54,35,200,200,29.1,42.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/28/2014,12.75,58,0.04,,,,55,34,250,250,31.1,44.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/29/2014,10.51,1327,0,,,,41,28,30,10,19.9,23.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/30/2014,7.16,1637,0,,,,57,25,200,200,17,21.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",3/31/2014,15.88,1237,0.03,,,,68,44,160,160,29.1,44.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/1/2014,18.34,643,0,,,,57,34,250,250,32,40.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/2/2014,10.51,1909,0,,,,45,36,30,30,18.1,21,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/3/2014,12.97,1017,1.08,,,,42,37,80,80,25.9,33.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/4/2014,15.88,1516,0.01,,,,46,35,260,260,30,40,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/5/2014,7.83,1349,0,,,,49,33,90,100,16.1,19,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/6/2014,6.93,918,0,,,,56,36,120,200,14.1,19.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/7/2014,8.05,1140,0,,,,55,37,30,30,19.9,23.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/8/2014,5.82,1254,0.02,,,,57,40,70,80,16.1,19.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/9/2014,9.17,1623,0,,,,63,36,240,220,21,27.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/10/2014,11.18,1015,0,,,,64,44,240,230,23.9,31.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/11/2014,5.82,1439,0,,,,70,41,240,240,19.9,25.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/12/2014,14.32,1545,0,,,,80,52,210,200,31.1,42.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/13/2014,14.09,2247,0.45,,,,72,46,200,200,29.1,42.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/14/2014,16.11,355,0.16,,,,64,31,330,240,30,38.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/15/2014,9.84,1104,0,,,,38,27,330,320,18.1,23,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/16/2014,14.32,1446,0,,,,52,31,140,170,25.1,33.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/17/2014,11.86,858,0,,,,63,43,240,200,19.9,27.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/18/2014,9.17,1918,0,,,,51,39,30,40,17,21.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/19/2014,9.17,13,0,,,,64,38,50,50,16.1,19,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/20/2014,10.07,1442,0,,,,78,47,210,170,16.1,25.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/21/2014,9.4,1621,0.51,,,,78,59,250,230,23.9,31.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/22/2014,12.53,707,0,,,,60,40,30,340,23.9,29.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/23/2014,10.29,656,0.02,,,,51,37,20,30,17,21.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/24/2014,13.42,1452,0.01,,,,64,41,140,140,25.9,36,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/25/2014,11.18,1356,0.24,,,,69,47,290,310,25.1,31.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/26/2014,14.09,1730,0.01,,,,60,40,30,30,23,25.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/27/2014,15.88,807,0.03,,,,61,42,110,110,29.1,33.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/28/2014,16.33,831,0.48,,,,58,47,80,80,31.1,38,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/29/2014,9.62,1054,0.11,,,,67,50,220,150,25.9,34,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",4/30/2014,10.74,1530,0.12,,,,53,46,250,240,21,25.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/1/2014,14.09,1316,0.09,,,,50,43,250,240,25.1,32,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/2/2014,11.86,1334,0.04,,,,80,47,180,240,17,25.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/3/2014,14.09,1143,0,,,,68,49,290,290,25.9,35.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/4/2014,11.18,51,0,,,,61,47,290,290,17,25.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/5/2014,13.87,949,0.01,,,,59,45,50,50,21.9,25.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/6/2014,13.65,1152,0,,,,63,45,60,70,21.9,29.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/7/2014,9.4,2345,0,,,,80,52,120,200,19.9,23.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/8/2014,14.32,2231,0,,,,93,68,220,240,33.1,44.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/9/2014,15.21,1301,1.43,,,,76,57,240,230,28,36,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/10/2014,6.71,1213,0,,,,77,52,270,260,17,21.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/11/2014,10.07,1807,0.41,,,,85,63,180,160,28,42.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/12/2014,12.53,2235,0.03,,,,86,65,290,280,28,35.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/13/2014,10.74,1249,0.14,,,,70,54,270,280,21,25.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/14/2014,12.53,1835,0.06,,,,57,44,30,30,21.9,25.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/15/2014,13.65,453,0.26,,,,57,42,360,350,28,32,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/16/2014,9.17,648,0.08,,,,45,41,50,50,17,21,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/17/2014,8.28,1429,0,,,,61,41,260,250,16.1,23,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/18/2014,9.17,924,0,,,,70,48,230,220,17,23,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/19/2014,12.08,1638,0,,,,71,53,150,140,25.9,36,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/20/2014,11.86,1950,0.64,,,,87,63,190,200,29.1,36.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/21/2014,7.83,2123,0.01,,,,89,68,350,350,21,27.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/22/2014,7.61,29,0,,,,69,54,10,10,17,19.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/23/2014,6.04,1821,0,,,,68,51,40,40,16.1,19.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/24/2014,4.7,1230,0,,,,74,50,70,60,13,19,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/25/2014,4.47,1644,0,,,,85,54,70,80,16.1,21,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/26/2014,7.61,1554,0.08,,,,90,67,290,280,18.1,23,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/27/2014,9.62,1658,0.5,,,,85,61,20,20,23,28,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/28/2014,9.17,1621,0.68,,,,73,58,50,30,19.9,25.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/29/2014,9.62,1300,0,,,,77,57,30,60,18.1,23,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/30/2014,8.05,1232,0,,,,79,57,70,80,15,19,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",5/31/2014,7.38,1340,0,,,,89,60,80,140,16.1,21,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/1/2014,12.08,1811,0,,,,92,69,210,200,25.9,36,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/2/2014,14.99,1057,0.2,,,,85,69,250,250,36.9,53,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/3/2014,10.51,818,0,,,,82,70,290,280,21.9,28,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/4/2014,10.96,1312,0.12,,,,72,58,50,50,21,29.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/5/2014,7.83,651,0,,,,75,56,60,60,15,18.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/6/2014,5.59,1255,0,,,,82,54,70,80,15,19.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/7/2014,7.16,1301,0.12,,,,85,62,130,140,16.1,21.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/8/2014,15.66,337,0.21,,,,70,55,360,360,23.9,30,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/9/2014,8.05,1912,0,,,,79,56,80,60,16.1,19,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/10/2014,9.17,2122,0.45,,,,70,59,60,50,21.9,27.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/11/2014,5.82,1,0.03,,,,69,62,50,60,15,19.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/12/2014,9.84,1252,0.01,,,,82,63,250,240,21.9,29.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/13/2014,7.61,1252,0,,,,75,57,320,330,19.9,25.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/14/2014,8.5,1401,0,,,,80,57,140,160,17,23.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/15/2014,14.54,1355,0,,,,86,64,160,180,29.1,40,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/16/2014,8.72,2207,0,,,,90,69,170,180,18.1,23.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/17/2014,13.87,831,0,,,,93,79,200,190,29.1,36.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/18/2014,10.51,1034,0.8,,,,85,63,340,340,31.1,38,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/19/2014,7.61,1714,0.39,,,,82,60,60,70,16.1,21,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/20/2014,8.72,1331,0.03,,,,86,66,290,260,16.1,21,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/21/2014,6.49,1656,0.73,,,,85,63,360,360,29.1,35.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/22/2014,5.82,1544,0,,,,82,66,90,90,12.1,16.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/23/2014,5.59,1457,0.16,,,,84,69,100,290,13,16.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/24/2014,5.82,1738,1.15,,,,85,70,340,340,29.1,36,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/25/2014,6.26,1608,0.02,,,,79,62,20,20,16.1,19,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/26/2014,7.16,1742,0,,,,77,60,90,100,12.1,16.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/27/2014,8.95,1713,0,,,,91,62,160,170,17,25.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/28/2014,11.63,1745,0.16,,,,88,75,160,150,28,38.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/29/2014,13.2,338,0.04,,,,88,71,240,240,28,36.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",6/30/2014,12.75,2121,2.06,,,,88,68,310,320,42.9,57.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",7/1/2014,14.54,44,0.04,,,,84,68,280,280,29.1,36.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",7/2/2014,9.62,938,0.12,,,,74,58,300,280,18.1,21.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",7/3/2014,6.93,1142,0.05,,,,75,57,50,280,16.1,19.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",7/4/2014,7.16,1531,0,,,,79,60,80,80,15,19,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",7/5/2014,9.62,1040,0.01,,,,79,63,200,200,18.1,23.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",7/6/2014,12.97,1608,0,,,,89,66,220,200,23,30,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",7/7/2014,10.29,49,0.48,,,,89,72,310,310,28,36.9,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",7/8/2014,12.97,500,0.48,,,,84,70,230,240,28,38,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",7/9/2014,6.04,1020,0,,,,81,64,320,280,17,21.9,,,,,,,,
